bat_cluster,bowl_cluster,c_zero,c_one,c_two,c_three,c_four,c_six
0,0,0.3581213307,0.7827788649,0.8454011741,0.8493150684,0.9628180038,0.9980430527
0,1,1,1,1,1,1,1
0,2,0.4149659864,0.7551020408,0.8299319728,0.843537415,0.9523809524,1
0,3,0.4285714286,0.8571428572,0.8571428572,0.8571428572,1.0000000001,1.0000000001
0,4,0.4523809524,0.880952381,0.9047619048,0.9047619048,0.9285714286,1
0,5,0.4423076923,0.8461538461,0.8846153846,0.9038461538,0.9807692307,0.9999999999
0,6,0,0.5,0.5,0.5,0.5,1
0,7,0.3846153846,0.7692307692,0.8461538461,0.8461538461,0.923076923,0.9999999999
0,8,0.4455445545,0.798679868,0.8646864687,0.8696369637,0.9587458746,1
0,9,0.3507853403,0.7643979057,0.8429319371,0.8429319371,0.9633507853,1
0,10,0.4307417337,0.8087578195,0.8739946381,0.8748886381,0.9687224183,0.9982130349
0,11,0.5294117647,0.9411764706,1,1,1,1
1,0,0.3128964059,0.7501057082,0.821987315,0.8249471459,0.9446088795,0.9966173362
1,1,0.3333333333,0.5,0.5833333333,0.5833333333,0.75,0.9166666667
1,2,0.2922885572,0.7748756219,0.8470149254,0.8557213931,0.9514925374,0.998756219
1,3,0.2962962963,0.6790123457,0.7407407408,0.7407407408,0.938271605,1.0000000001
1,4,0.285,0.73,0.805,0.805,0.925,1
1,5,0.3055555556,0.7777777778,0.8333333334,0.8333333334,0.9444444445,1.0000000001
1,6,0,0.4444444444,0.5555555555,0.5555555555,0.6666666666,0.9999999999
1,7,0.1780821918,0.7123287671,0.7808219178,0.7808219178,0.9452054794,0.9726027397
1,8,0.3710567823,0.7523659306,0.8249211356,0.8280757097,0.9629337539,0.9984227129
1,9,0.3547297297,0.7635135135,0.8186936937,0.8243243243,0.9504504504,0.9943693693
1,10,0.3503035965,0.7545539468,0.8211116301,0.8278841663,0.953993461,0.9988323213
1,11,0.2654867257,0.7256637169,0.8495575222,0.8495575222,0.96460177,1.0000000001
2,0,0.3446502058,0.7664609054,0.8302469136,0.8343621399,0.95781893,0.9979423868
2,1,0.4285714286,0.7142857143,0.7142857143,0.7142857143,1,1
2,2,0.3404255319,0.8138297872,0.8882978723,0.8936170212,0.9654255318,0.9999999999
2,3,0.2857142857,0.7142857143,0.8571428572,0.8571428572,1.0000000001,1.0000000001
2,4,0.3186813187,0.7582417583,0.8351648352,0.8351648352,0.9120879121,1
2,5,0.5,0.7,0.8,0.8,1,1
2,6,0,0.5,1,1,1,1
2,7,0.1929824561,0.7192982456,0.8245614035,0.8245614035,0.9298245614,0.9824561403
2,8,0.3929219601,0.7631578948,0.832123412,0.8375680581,0.9646098004,0.997277677
2,9,0.4153498871,0.7629796839,0.8442437923,0.8465011286,0.9638826184,0.9999999999
2,10,0.3710333605,0.7615947926,0.8311635477,0.8348250611,0.9552481693,0.9975589911
2,11,0.3235294118,0.8823529412,0.9705882353,0.9705882353,1,1
3,0,0.3535580524,0.7820224719,0.8359550562,0.8426966292,0.9550561798,0.9985018727
3,1,0.2857142857,0.7142857143,0.8214285714,0.8214285714,0.9285714285,0.9999999999
3,2,0.3503184713,0.7770700637,0.8407643312,0.8407643312,0.9511677282,1
3,3,0.2580645161,0.8064516129,0.8387096774,0.8387096774,0.9354838709,0.9999999999
3,4,0.3596491228,0.7894736842,0.850877193,0.850877193,0.9561403509,1
3,5,0.3921568627,0.7647058823,0.8235294117,0.8235294117,0.9607843137,1
3,6,0,1,1,1,1,1
3,7,0.2222222222,0.75,0.8333333333,0.8333333333,0.9166666666,0.9999999999
3,8,0.3953301127,0.7874396135,0.844605475,0.8470209339,0.9508856682,0.996779388
3,9,0.3583535109,0.7602905569,0.818401937,0.8208232445,0.9418886198,0.9975786924
3,10,0.3883840379,0.7854602923,0.8467009087,0.8506519162,0.9565389174,0.996839194
3,11,0.3815789474,0.7236842106,0.7763157895,0.7763157895,0.9210526316,1
4,0,0.3392980041,0.7522367515,0.832071576,0.8368891947,0.9518238127,0.9999999999
4,1,0.1538461538,0.6153846153,0.6923076922,0.6923076922,0.6923076922,0.9999999999
4,2,0.3251533742,0.7484662576,0.8302658486,0.8466257668,0.9570552147,1
4,3,0.2727272727,0.7878787879,0.7878787879,0.7878787879,0.9393939394,1
4,4,0.25,0.7380952381,0.8095238095,0.8333333333,0.9523809523,0.9999999999
4,5,0.25,0.84375,1,1,1,1
4,6,0,0.4,0.4,0.4,0.6,1
4,7,0.3157894737,0.701754386,0.8245614035,0.8245614035,0.9649122807,1
4,8,0.3307030129,0.7668579627,0.8515064562,0.856527977,0.9548063127,0.9971305595
4,9,0.3561643836,0.7397260274,0.8401826484,0.8424657534,0.9680365297,1
4,10,0.3391877058,0.7636297109,0.852542993,0.8554701792,0.9615806805,0.9985364068
4,11,0.3090909091,0.8181818182,0.8727272727,0.8727272727,0.9454545454,0.9999999999
5,0,0.3365617433,0.7564164648,0.81937046,0.822276029,0.9404358353,0.9951573849
5,1,1,1,1,1,1,1
5,2,0.3215130024,0.7600472814,0.8250591017,0.8297872341,0.9420803783,0.9976359339
5,3,0.425,0.8,0.875,0.875,0.975,1
5,4,0.3409090909,0.7272727273,0.7670454546,0.7727272728,0.8920454546,0.9886363637
5,5,0.380952381,0.6904761905,0.8095238095,0.8095238095,0.9761904762,1
5,6,0.1851851852,0.5185185185,0.5925925926,0.5925925926,0.8148148148,1
5,7,0.1639344262,0.6557377049,0.7213114754,0.7213114754,0.9180327869,1
5,8,0.4068927182,0.7626459144,0.8249027237,0.8276820455,0.9510839354,0.997220678
5,9,0.3995215311,0.7332535885,0.7930622009,0.7954545454,0.9401913875,0.9964114832
5,10,0.3678781925,0.7554027505,0.8209724951,0.8249017682,0.9548133596,0.9990176818
5,11,0.3088235294,0.6617647059,0.705882353,0.705882353,0.9705882354,1.0000000001
6,0,0.3460820896,0.7630597015,0.8339552239,0.8358208955,0.9393656716,0.9972014925
6,1,1,1,1,1,1,1
6,2,0.3094555874,0.7793696275,0.8510028653,0.8567335243,0.9484240687,0.9971346704
6,3,0.4081632653,0.6326530612,0.7551020408,0.7551020408,0.9795918367,1
6,4,0.2352941176,0.7205882352,0.7794117646,0.794117647,0.9558823529,1
6,5,0.4545454545,0.7878787878,0.7878787878,0.8484848484,0.9696969696,0.9999999999
6,6,0,1,1,1,1,1
6,7,0,0.6666666667,0.8888888889,0.8888888889,1,1
6,8,0.3856722277,0.7644749755,0.8361138371,0.8420019627,0.9587831207,0.9990186457
6,9,0.3672055427,0.752886836,0.817551963,0.8244803695,0.9584295612,1
6,10,0.3590715301,0.764092847,0.8441496921,0.8498342018,0.9549976315,0.996684036
6,11,0.3333333333,0.6481481481,0.7222222222,0.7222222222,0.8703703703,0.9999999999
7,0,0.3742640875,0.7712363331,0.8410428932,0.8477712363,0.9629941127,1
7,1,0.1428571429,0.8571428572,1.0000000001,1.0000000001,1.0000000001,1.0000000001
7,2,0.3739612188,0.7894736842,0.8587257618,0.8670360111,0.9556786704,0.9972299169
7,3,0.4137931034,0.8275862068,0.896551724,0.896551724,0.9999999999,0.9999999999
7,4,0.3835616438,0.6712328767,0.698630137,0.698630137,0.9452054795,1
7,5,0.5322580645,0.9032258064,0.9516129032,0.9516129032,0.9677419355,1
7,6,0,1,1,1,1,1
7,7,0.2727272727,0.6969696969,0.8181818181,0.8181818181,0.909090909,0.9999999999
7,8,0.384244373,0.7628617363,0.8496784566,0.8528938907,0.9565916399,0.9943729904
7,9,0.3372781065,0.7495069033,0.8382642997,0.8481262326,0.9585798815,0.9999999998
7,10,0.3773333333,0.7733333333,0.8488888889,0.852,0.9666666667,1
7,11,0.3111111111,0.7111111111,0.7555555555,0.7777777777,0.9333333333,1
8,0,0.5396825397,0.8888888889,0.9603174603,0.9603174603,0.992063492,0.992063492
8,1,1,1,1,1,1,1
8,2,0.5454545455,0.9090909091,0.9545454546,0.9545454546,1.0000000001,1.0000000001
8,3,0.3333333333,1,1,1,1,1
8,4,1,1,1,1,1,1
8,5,0.4074074074,0.8888888889,0.9259259259,0.9259259259,1,1
8,6,1,1,1,1,1,1
8,7,0.25,1,1,1,1,1
8,8,0.5721393035,0.9253731343,0.9800995025,0.9850746269,1,1
8,9,0.58,0.88,0.96,0.98,0.98,0.98
8,10,0.5145631068,0.9029126214,0.9660194175,0.9660194175,0.9951456311,1
8,11,1,1,1,1,1,1
9,0,0.3316498316,0.7542087542,0.8215488215,0.8249158249,0.9570707071,0.9957912458
8,1,1,1,1,1,1,1
9,2,0.3402366864,0.7958579882,0.8313609468,0.8402366864,0.9615384615,0.9970414201
9,3,0.28,0.76,0.76,0.8,0.92,1
9,4,0.3066666667,0.8133333334,0.8533333334,0.8533333334,0.9733333334,1.0000000001
9,5,0.5897435897,0.8205128205,0.8461538461,0.8461538461,0.9999999999,0.9999999999
9,6,0.2272727273,0.5,0.5909090909,0.5909090909,0.7727272727,1
9,7,0.2264150943,0.6981132075,0.7924528301,0.7924528301,0.9622641509,1
9,8,0.36347359,0.7645478962,0.8272157565,0.8307967771,0.9668755596,1.0000000001
9,9,0.3386363636,0.7431818181,0.7954545454,0.8022727272,0.9363636363,0.9954545454
9,10,0.3531976744,0.7727713178,0.8367248062,0.8386627907,0.9612403101,0.9970930233
9,11,0.2794117647,0.7794117647,0.8382352941,0.8382352941,0.9705882353,1
10,0,0.3080032336,0.7275666936,0.8075990299,0.8100242522,0.953920776,0.9991915925
10,1,1,1,1,1,1,1
10,2,0.3147208122,0.7817258883,0.8629441624,0.8680203045,0.964467005,0.9999999999
10,3,0.2727272727,0.6590909091,0.7045454546,0.7272727273,0.9318181818,0.9772727273
10,4,0.3157894737,0.8245614035,0.8771929824,0.8771929824,0.947368421,0.9824561403
10,5,0.4137931034,0.724137931,0.8275862069,0.8275862069,0.9655172414,1
10,6,1,1,1,1,1,1
10,7,0.1489361702,0.7021276596,0.7872340426,0.7872340426,0.9787234043,1
10,8,0.3649484536,0.7680412371,0.830927835,0.8391752577,0.9577319587,0.9999999999
10,9,0.3279569892,0.7365591397,0.8225806451,0.8252688171,0.9650537633,0.9999999999
10,10,0.3270079435,0.7577228597,0.8296557811,0.8349514563,0.9580759047,0.9973521624
10,11,0.1379310345,0.6896551724,0.7586206896,0.7586206896,0.9655172413,0.9999999999
11,0,0.3523054755,0.7903458213,0.8544668588,0.8573487032,0.9531700288,0.9978386167
11,1,0,0.4,0.6,0.6,0.8,1
11,2,0.3210161663,0.8129330254,0.8775981524,0.8799076212,0.96073903,1
11,3,0.2608695652,0.7826086956,0.804347826,0.804347826,0.9782608695,0.9999999999
11,4,0.3052631579,0.7684210526,0.8631578947,0.8631578947,0.9368421052,0.9999999999
11,5,0.4565217391,0.9347826087,0.9565217391,0.9565217391,1,1
11,6,0,1,1,1,1,1
11,7,0.3090909091,0.8,0.9272727273,0.9454545455,1,1
11,8,0.3794117647,0.7852941176,0.8529411764,0.8558823529,0.9529411764,0.9976470588
11,9,0.3572815534,0.7611650485,0.8388349514,0.8466019417,0.9553398058,1
11,10,0.3579693916,0.7793952968,0.8503172826,0.8536767451,0.9537140725,0.9958939904
11,11,0.3157894737,0.7105263158,0.8157894737,0.8157894737,0.9473684211,1
